ID,Document ID,Document Title,Annex,Section L1,Section L2,Section L3,Section L4,Essential Requirement
1,2014/30/EU,EMC Directive,,1,,,,"General requirements

Equipment shall be so designed and manufactured, having regard to the state of the art, as to ensure that:
(a) the electromagnetic disturbance generated does not exceed the level above which radio and telecommunications 
equipment or other equipment cannot operate as intended;
(b) it has a level of immunity to the electromagnetic disturbance to be expected in its intended use which allows it to 
operate without unacceptable degradation of its intended use."
2,2014/30/EU,EMC Directive,,2,,,,"Specific requirements for fixed installations
Installation and intended use of components
A fixed installation shall be installed applying good engineering practices and respecting the information on the intended use of its components, with a view to meeting the essential requirements set out in point 1."
3,2014/35/EU,Low Voltage Directive,I,1,,,,"General conditions
(a) the essential characteristics, the recognition and observance of which will ensure that electrical equipment will be used safely and in applications for which it was made, shall be marked on the electrical equipment, or, if this is not possible, on an accompanying document;
(b) the electrical equipment, together with its component parts, shall be made in such a way as to ensure that it can be safely and properly assembled and connected;
(c) the electrical equipment shall be so designed and manufactured as to ensure that protection against the hazards set out in points 2 and 3 is assured, providing that the equipment is used in applications for which it was made and is adequately maintained."
4,2014/35/EU,Low Voltage Directive,I,2,,,,"Protection against hazards arising from the electrical equipment
Measures of a technical nature shall be laid down in accordance with point 1, in order to ensure that:
(a) persons and domestic animals are adequately protected against the danger of physical injury or other harm which might be caused by direct or indirect contact;
(b) temperatures, arcs or radiation which would cause a danger, are not produced;
(c) persons, domestic animals and property are adequately protected against non-electrical dangers caused by the electrical equipment which are revealed by experience;
(d) the insulation is suitable for foreseeable conditions"
5,2014/35/EU,Low Voltage Directive,I,3,,,,"Protection against hazards which may be caused by external influences on the electrical equipment
Technical measures shall be laid down in accordance with point 1, in order to ensure that the electrical equipment:
(a) meets the expected mechanical requirements in such a way that persons, domestic animals and property are not endangered;
(b) is resistant to non-mechanical influences in expected environmental conditions, in such a way that persons, domestic animals and property are not endangered;
(c) does not endanger persons, domestic animals and property in foreseeable conditions of overload"
10,2023/1230,Machinery Regulation,III,1,1,1,,"Applicability
The obligations laid down by the essential health and safety requirements are applicable to partly completed machinery insofar as those requirements are relevant.
The relevant requirements in relation to partly completed machinery do not cover the requirements that can only be fulfilled at the time of the incorporation of the partly completed machinery. However, the principles of safety integration established in section 1.1.2 are applicable in all cases."
11,2023/1230,Machinery Regulation,III,1,1,2,,"Principles of safety integration
(a) Machinery or related products shall be designed and constructed so that they are fit for their function, 
and can be operated, adjusted and maintained without putting persons at risk when these operations are 
carried out under the conditions foreseen but also taking into account any reasonably foreseeable misuse 
thereof. The aim of protective measures shall be to eliminate any risk throughout the foreseeable lifetime 
of the machinery or related product including the phases of transport, assembly, dismantling, disabling 
and scrapping.
(b) In selecting the most appropriate methods, the manufacturer shall apply the following principles, in the 
order given:
(i) eliminate hazards or, if that is not possible, minimise risks (inherently safe machinery or related 
product design and construction);
(ii) take the necessary protective measures in relation to risks that cannot be eliminated;
(iii) inform users of the residual risks due to any shortcomings of the protective measures adopted, 
indicate whether any particular training is required and specify any need to provide personal 
protective equipment.
(c) When designing and constructing machinery or a related product and when drafting the instructions for 
use, the manufacturer shall envisage not only the intended use of the machinery or related product but 
also any reasonably foreseeable misuse thereof. The machinery or related product shall be designed and 
constructed in such a way as to prevent abnormal use if such use would engender a risk. Where 
appropriate, the instructions for use shall draw the user’s attention to ways – which experience has 
shown might occur – in which the machinery or related product should not be used.
(d) Machinery or related products shall be designed and constructed to take account of the constraints to 
which the operator is subject as a result of the necessary or foreseeable use of personal protective 
equipment.
(e) Machinery or related products shall be designed and constructed in such a way that it is possible for the 
user, where applicable, to test the safety functions. The machinery or related product shall be supplied 
with all the special equipment and accessories, and where appropriate, with the description of specific 
functional test procedures, essential to enable it to be tested, adjusted, maintained and used safely."
12,2023/1230,Machinery Regulation,III,1,1,3,,"Materials and products
The materials used to construct machinery or related products, or products used or created during its use, 
shall not endanger the health and safety of persons. In particular, where fluids are used, machinery or related 
products shall be designed and constructed to prevent risks due to filling, use, recovery or draining"
13,2023/1230,Machinery Regulation,III,1,1,4,,"Lighting
Machinery or related products shall be supplied with integral lighting suitable for the operations concerned, 
where the absence thereof is likely to cause a risk despite ambient lighting of normal intensity.
Machinery or related products shall be designed and constructed so that there is no area of shadow likely to 
cause nuisance, that there is no irritating dazzle and that there are no dangerous stroboscopic effects on 
moving parts due to the lighting.
Internal parts requiring frequent inspection and adjustment, and maintenance areas shall be provided with 
appropriate lighting."
14,2023/1230,Machinery Regulation,III,1,1,5,,"Design of machinery or a related product to facilitate its handling
Machinery or a related product or each component part thereof, shall:
(a) be capable of being handled and transported safely;
(b) be packaged or designed so that it can be stored safely and without damage.
During the transportation of the machinery or related product or its component parts, there shall be no 
possibility of sudden movements or of hazards due to instability as long as the machinery or related product 
or its component parts are handled in accordance with the instructions.
Where the weight, size or shape of machinery or a related product or its various component parts prevents it 
or them from being moved by hand, the machinery or related product or each component part shall:
(a) either be fitted with attachments for lifting gear; or
(b) be designed so that it can be fitted with such attachments; or
(c) be shaped in such a way that standard lifting gear can easily be attached.
Where machinery or a related product or one of its component parts is to be moved by hand, it shall either:
(a) be easily moveable; or
(b) be equipped for picking up and moving safely.
Special arrangements shall be made for the handling of tools and/or machinery or related product parts, 
which, even if lightweight, could be hazardous."
